route_id,stop_number,latitude,longitude
65023,1,45.8206843,-64.2303173
65023,2,45.8167362,-64.2395414
65023,3,45.8115853,-64.2458161
65023,4,45.8051430,-64.2501102
65023,5,45.7995233,-64.2578581
65023,6,45.7949041,-64.2638057
65023,7,45.7887794,-64.2694007
65023,8,45.7850964,-64.2645104
65023,9,45.7812381,-64.2561975
65023,10,45.7746129,-64.2490652
65023,11,45.7723370,-64.2427364
65023,12,45.7648864,-64.2412175
65023,13,45.7575634,-64.2402014
65023,14,45.7509190,-64.2420343
65023,15,45.7441417,-64.2467263
65023,16,45.7366943,-64.2485868
65023,17,45.7306583,-64.2510985
65023,18,45.7260200,-64.2543356
65023,19,45.7234293,-64.2619894
65023,20,45.7190881,-64.2740461
65023,21,45.7166317,-64.2802193
65023,22,45.7163812,-64.2871343
65023,23,45.7148046,-64.2988491
65023,24,45.7143416,-64.3075327
65023,25,45.7154687,-64.3168662
65023,26,45.7164695,-64.3309124
65023,27,45.7174070,-64.3399548
65023,28,45.7169644,-64.3501923
65023,29,45.7162371,-64.3583850
65023,30,45.7087764,-64.3582904
65023,31,45.7014748,-64.3592071
65023,32,45.6945402,-64.3644471
65023,33,45.6905415,-64.3720120
65023,34,45.6926302,-64.3779159
65023,35,45.6980231,-64.3764606
65023,36,45.7010445,-64.3835236
65023,37,45.6939203,-64.3851881
65023,38,45.6913175,-64.3916241
65023,39,45.6907773,-64.4023902
65023,40,45.6908066,-64.4113898
65023,41,45.6890304,-64.4224339
65023,42,45.6849419,-64.4295057
65023,43,45.6868935,-64.4357165
65023,44,45.6917100,-64.4444697
65023,45,45.6866453,-64.4509045
65023,46,45.6802012,-64.4543188
65023,47,45.6781133,-64.4639500
65023,48,45.6730692,-64.4691839
65023,49,45.6721102,-64.4811867
65023,50,45.6665295,-64.4834353
56042,1,45.7628900,-65.0492400
56042,2,45.7632000,-65.0591300
56042,3,45.7584290,-65.0665700
56042,4,45.7566190,-65.0759990
56042,5,45.7556990,-65.0860000
56042,6,45.7514890,-65.0945290
56042,7,45.7497690,-65.1031490
56042,8,45.7476000,-65.1126490
56042,9,45.7451200,-65.1232790
56042,10,45.7428600,-65.1331700
56042,11,45.7415390,-65.1406930
56042,12,45.7388800,-65.1510990
56042,13,45.7366200,-65.1601890
56042,14,45.7344300,-65.1700990
56042,15,45.7343200,-65.1794500
56042,16,45.7303200,-65.1874890
56042,17,45.7272600,-65.1930490
56042,18,45.7248000,-65.2030990
56042,19,45.7269300,-65.2132700
56042,20,45.7282390,-65.2232190
56042,21,45.7305590,-65.2329000
56042,22,45.7318000,-65.2425200
56042,23,45.7331990,-65.2525000
56042,24,45.7336590,-65.2629090
56042,25,45.7349800,-65.2715400
56042,26,45.7412000,-65.2767000
56042,27,45.7472990,-65.2829800
56042,28,45.7472790,-65.2935500
56042,29,45.7530400,-65.2994200
56042,30,45.7575690,-65.3048300
56042,31,45.7626300,-65.3114800
56042,32,45.7696500,-65.3177690
56042,33,45.7757200,-65.3235590
56042,34,45.7813700,-65.3311790
56042,35,45.7843200,-65.3387490
56042,36,45.7863790,-65.3474290
56042,37,45.7838790,-65.3571190
56042,38,45.7790000,-65.3664300
56042,39,45.7756900,-65.3747750
56042,40,45.7791700,-65.3820990
56042,41,45.7826800,-65.3894200
56042,42,45.7821290,-65.3986700
56042,43,45.7772800,-65.4043000
56042,44,45.7720300,-65.4116600
56042,45,45.7663690,-65.4186290
56042,46,45.7669290,-65.4246400
56042,47,45.7665190,-65.4329990
56042,48,45.7647000,-65.4433700
56042,49,45.7634990,-65.4528800
56042,50,45.7609890,-65.4603790