Species,1,2,3,4,5, 
American Black Duck,,1,,,,Breeder
Ring-necked Pheasant,1,,,1,,Breeder
Mourning Dove,,,,1,1,Breeder
Downy Woodpecker,1,,,,,Breeder
Alder Flycatcher,1,,,,,Breeder
Red-eyed Vireo,,,,,1,Breeder
American Crow,3,2,2,4,,Breeder
Black-capped Chickadee,,2,2,4,,Breeder
Tree Swallow,,,,2,,Breeder
Golden-crowned Kinglet,,,,,2,Breeder
Hermit Thrush,,,1,,,Breeder
American Robin,3,2,,2,2,Breeder
American Goldfinch,4,,,,,Breeder
(Slate-colored Junco) Dark-eyed Junco,,,,1,,Breeder
White-throated Sparrow,1,,,,,Breeder
Song Sparrow,2,2,,1,2,Breeder
Common Grackle,,,,1,,Breeder
Ovenbird,,,1,,,Breeder
Black-and-white Warbler,,,1,,,Breeder
American Redstart,,,,1,,Breeder
Northern Parula,,,,,1,Breeder
Yellow Warbler,2,1,,,,Breeder
Brown Creeper,,,1,,,Breeder
House Finch,,,1,,,Breeder
Black-throated Blue Warbler,,,1,,,Breeder
Wilson's Warbler,,,,,1,Breeder
Number of Vehicles,0,0,0,0,0
Excessive Noise,,,,,
Species,6,7,8,9,10, 
Canada Goose,,1,,,,Breeder
Gadwall,,,,1,,Breeder
Ring-necked Pheasant,,,,1,,Breeder
Pied-billed Grebe,,,,1,,Breeder
Mourning Dove,,,,1,1,Breeder
Sora,,,,1,,Breeder
Great Blue Heron,,,,2,,Breeder
Alder Flycatcher,1,1,,1,2,Breeder
American Crow,2,3,5,,3,Breeder
Tree Swallow,,4,,,,Breeder
Cedar Waxwing,,,,2,,Breeder
Gray Catbird,,1,,,,Breeder
European Starling,1,5,1,,1,Breeder
American Robin,1,,2,,,Breeder
Purple Finch,1,,,,,Breeder
American Goldfinch,,,,,4,Breeder
Savannah Sparrow,,1,,,,Breeder
Song Sparrow,1,1,1,,1,Breeder
Swamp Sparrow,,,,1,2,Breeder
Red-winged Blackbird,,,,10,,Breeder
Common Grackle,1,,1,,,Breeder
Common Yellowthroat,,,1,,1,Breeder
Northern Parula,1,,,,,Breeder
Yellow Warbler,1,,2,2,,Breeder
Number of Vehicles,1,0,1,0,0
Excessive Noise,,,,,
Species,11,12,13,14,15, 
Blue-winged Teal,,,2,,,Breeder
Ring-necked Pheasant,,,1,,,Breeder
Mourning Dove,,,,1,,Breeder
Rock Pigeon,2,,,,,Breeder
Bald Eagle,1,,,,,Breeder
Red-eyed Vireo,,,,,1,Breeder
Blue Jay,,,1,1,,Breeder
American Crow,2,2,,1,1,Breeder
Common Raven,,,2,,,Breeder
Tree Swallow,,,1,2,,Breeder
European Starling,,2,20,1,,Breeder
Veery,,,,1,,Breeder
American Robin,,1,,1,2,Breeder
Chipping Sparrow,,,1,,1,Breeder
Savannah Sparrow,,2,1,,,Breeder
Song Sparrow,1,,,1,,Breeder
Swamp Sparrow,1,,,,,Breeder
Bobolink,1,2,,1,,Breeder
Common Yellowthroat,,2,,1,,Breeder
American Redstart,,,,,1,Breeder
Northern Parula,,,,1,,Breeder
Yellow Warbler,,,,1,,Breeder
Chestnut-sided Warbler,,,,,1,Breeder
Eastern Kingbird,1,,,,,Breeder
Willow Flycatcher,1,,,,,Breeder
Barn Swallow,,1,,,,Breeder
Number of Vehicles,0,0,3,3,1
Excessive Noise,,,,,
Species,16,17,18,19,20, 
Blue-winged Teal,,,3,,,Breeder
American Black Duck,,,2,,,Breeder
Ring-necked Pheasant,1,,1,1,,Breeder
Bald Eagle,,1,,,,Breeder
Yellow-bellied Sapsucker,1,,,,1,Breeder
(Yellow-shafted Flicker) Northern Flicker,2,,,,,Breeder
Alder Flycatcher,,,1,,,Breeder
Philadelphia Vireo,,1,,,,Breeder
Blue Jay,1,,1,2,,Breeder
American Crow,,3,1,2,,Breeder
Common Raven,,,1,,,Breeder
Black-capped Chickadee,1,,,,,Breeder
Tree Swallow,,,2,,,Breeder
Cedar Waxwing,,1,1,6,,Breeder
Gray Catbird,1,,,,,Breeder
Veery,1,,,,,Breeder
Hermit Thrush,,,,,1,Breeder
American Goldfinch,,,2,3,1,Breeder
White-throated Sparrow,1,1,,,,Breeder
Song Sparrow,,1,,1,,Breeder
Swamp Sparrow,,,1,,,Breeder
Bobolink,,,1,,,Breeder
Red-winged Blackbird,,,10,,,Breeder
Ovenbird,,1,,,1,Breeder
Black-and-white Warbler,1,,,,1,Breeder
Common Yellowthroat,,1,,,,Breeder
American Redstart,1,,1,,,Breeder
Northern Parula,1,1,,,1,Breeder
Yellow Warbler,,,1,1,,Breeder
Chestnut-sided Warbler,,,,2,1,Breeder
Hairy Woodpecker,,,,,1,Breeder
Northern Cardinal,1,,,,1,Breeder
Number of Vehicles,0,1,0,1,2
Excessive Noise,,,,,
Species,21,22,23,24,25, 
Ruffed Grouse,,,,,1,Breeder
Ruby-throated Hummingbird,1,,,,1,Breeder
Downy Woodpecker,,1,,,,Breeder
Alder Flycatcher,,,,,1,Breeder
Philadelphia Vireo,,,,1,,Breeder
Red-eyed Vireo,1,1,1,,1,Breeder
Blue Jay,1,1,,,,Breeder
Black-capped Chickadee,1,,,,,Breeder
Golden-crowned Kinglet,,,1,,,Breeder
Cedar Waxwing,,2,,,,Breeder
Red-breasted Nuthatch,,1,1,,,Breeder
Winter Wren,,1,,,,Breeder
Veery,1,,,,,Breeder
Swainson's Thrush,,1,,1,1,Breeder
American Robin,1,,,1,,Breeder
White-throated Sparrow,,1,,1,1,Breeder
Song Sparrow,,,,,2,Breeder
Ovenbird,1,2,2,2,,Breeder
Black-and-white Warbler,,1,,,,Breeder
Common Yellowthroat,,,1,,1,Breeder
American Redstart,,2,,,,Breeder
Northern Parula,1,1,1,,1,Breeder
Magnolia Warbler,,,,1,,Breeder
Blackburnian Warbler,,,1,1,,Breeder
Chestnut-sided Warbler,1,,1,,1,Breeder
Black-throated Green Warbler,,,,,1,Breeder
Hairy Woodpecker,,,1,,,Breeder
Eastern Wood-Pewee,,,1,,,Breeder
Black-throated Blue Warbler,,,1,,,Breeder
Number of Vehicles,2,2,1,1,0
Excessive Noise,,,,,
Species,26,27,28,29,30, 
Canada Goose,,,,1,,Breeder
Ring-necked Pheasant,,,,,1,Breeder
Great Blue Heron,,,,1,,Breeder
Yellow-bellied Sapsucker,1,,,,,Breeder
Pileated Woodpecker,,1,,1,,Breeder
Alder Flycatcher,,,,,1,Breeder
Red-eyed Vireo,,,1,1,1,Breeder
Blue Jay,,,1,,,Breeder
American Crow,,,1,40,10,Breeder
Common Raven,2,,,,,Breeder
Cedar Waxwing,1,,,,2,Breeder
American Robin,,,2,,,Breeder
White-throated Sparrow,1,1,1,,,Breeder
Song Sparrow,,,,2,1,Breeder
Red-winged Blackbird,,,,,1,Breeder
Common Grackle,,,,2,1,Breeder
Ovenbird,1,1,,,,Breeder
Common Yellowthroat,1,1,,,,Breeder
American Redstart,,1,,1,,Breeder
Northern Parula,1,,1,1,1,Breeder
Chestnut-sided Warbler,,,1,,,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,1,,,,,Breeder
Black-throated Green Warbler,1,,,,,Breeder
Number of Vehicles,2,2,2,0,3
Excessive Noise,,,,,
Species,31,32,33,34,35, 
Gadwall,,,,,4,Breeder
American Wigeon,,,,,10,Breeder
Ring-necked Duck,,,,,1,Breeder
Ring-necked Pheasant,,,,1,1,Breeder
Mourning Dove,,,1,1,,Breeder
Rock Pigeon,,1,3,,,Breeder
Sora,,,,,2,Breeder
American Herring Gull,,,,1,,Breeder
Great Blue Heron,,,,2,,Breeder
Bald Eagle,,,2,,,Breeder
Least Flycatcher,,,,,1,Breeder
Blue Jay,,,,1,,Breeder
American Crow,3,2,2,1,1,Breeder
Common Raven,,2,,,1,Breeder
Tree Swallow,,2,3,,1,Breeder
Cedar Waxwing,2,,,,,Breeder
European Starling,12,6,,4,,Breeder
American Robin,1,1,1,,,Breeder
American Goldfinch,12,,,2,,Breeder
Song Sparrow,1,1,,,,Breeder
Swamp Sparrow,,,,1,1,Breeder
Red-winged Blackbird,,,1,,10,Breeder
Common Grackle,,1,1,,,Breeder
Common Yellowthroat,,1,1,2,,Breeder
American Redstart,,1,1,,,Breeder
Northern Parula,,,,,1,Breeder
Yellow Warbler,,,,,1,Breeder
Chestnut-sided Warbler,1,,,,,Breeder
Northern Shoveler,,,,,1,Breeder
Northern Cardinal,,,,1,,Breeder
Number of Vehicles,0,4,2,0,0
Excessive Noise,,,,,
Species,36,37,38,39,40, 
Ring-necked Pheasant,1,,,,,Breeder
Mourning Dove,1,,,,,Breeder
Rock Pigeon,1,,1,,,Breeder
Ruby-throated Hummingbird,,,1,,,Breeder
Downy Woodpecker,,,,,1,Breeder
Alder Flycatcher,2,,1,,,Breeder
Red-eyed Vireo,,,,1,,Breeder
Blue Jay,1,4,,,,Breeder
American Crow,,1,2,1,,Breeder
Common Raven,1,,,,,Breeder
Black-capped Chickadee,1,,,1,3,Breeder
Tree Swallow,,,1,,,Breeder
Cedar Waxwing,,,,10,,Breeder
European Starling,,1,3,,,Breeder
Swainson's Thrush,,,,,1,Breeder
American Robin,,1,,,1,Breeder
Purple Finch,,,,1,,Breeder
American Goldfinch,1,2,1,,1,Breeder
White-throated Sparrow,,,,1,,Breeder
Song Sparrow,1,1,1,,,Breeder
Common Grackle,1,,,,,Breeder
Ovenbird,1,,1,1,,Breeder
Black-and-white Warbler,,,,1,,Breeder
Common Yellowthroat,,,1,,,Breeder
Northern Parula,1,,,1,1,Breeder
Yellow Warbler,,,1,,,Breeder
Chestnut-sided Warbler,,2,2,,,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,,,,1,,Breeder
White-breasted Nuthatch,,,1,,,Breeder
Number of Vehicles,0,0,2,7,3
Excessive Noise,,,,,
Species,41,42,43,44,45, 
Mourning Dove,,1,,1,,Breeder
Ruby-throated Hummingbird,,,1,,1,Breeder
Downy Woodpecker,,1,,,,Breeder
Alder Flycatcher,,,,,2,Breeder
Blue-headed Vireo,1,,,,,Breeder
Blue Jay,1,1,,,1,Breeder
American Crow,,,1,2,2,Breeder
Black-capped Chickadee,,1,,,,Breeder
Tree Swallow,,2,,,,Breeder
Cedar Waxwing,,,,3,,Breeder
European Starling,,1,,3,,Breeder
American Robin,,1,,,1,Breeder
American Goldfinch,,,1,3,,Breeder
Chipping Sparrow,,,,1,,Breeder
White-throated Sparrow,,,,,1,Breeder
Song Sparrow,,,1,1,1,Breeder
Ovenbird,2,1,,,,Breeder
Black-and-white Warbler,,1,1,,,Breeder
Nashville Warbler,1,,,,,Breeder
Common Yellowthroat,,,,1,1,Breeder
Northern Parula,,,1,,1,Breeder
Yellow Warbler,,,,1,,Breeder
Chestnut-sided Warbler,,,1,,2,Breeder
White-breasted Nuthatch,,1,,,,Breeder
Number of Vehicles,0,0,2,0,0
Excessive Noise,,,,,
Species,46,47,48,49,50, 
Mourning Dove,,1,,,,Breeder
(Yellow-shafted Flicker) Northern Flicker,,,1,,,Breeder
Blue-headed Vireo,1,,,,,Breeder
Blue Jay,,1,2,1,1,Breeder
American Crow,5,1,,,,Breeder
Common Raven,,,2,1,2,Breeder
European Starling,,2,,,,Breeder
Swainson's Thrush,1,,,,,Breeder
Hermit Thrush,,,,,2,Breeder
American Robin,,1,1,,2,Breeder
American Goldfinch,,1,,,,Breeder
White-throated Sparrow,1,,,1,,Breeder
Song Sparrow,,1,,,,Breeder
Ovenbird,1,1,1,,1,Breeder
Black-and-white Warbler,,,1,,,Breeder
Common Yellowthroat,,1,1,2,,Breeder
American Redstart,,,1,1,,Breeder
Northern Parula,2,,,,1,Breeder
Magnolia Warbler,,,,1,,Breeder
Blackburnian Warbler,,,,1,1,Breeder
Chestnut-sided Warbler,1,,,1,,Breeder
Black-throated Green Warbler,,,,1,1,Breeder
Turkey Vulture,,,1,,,Breeder