Stops,Latitude,Longitude
 1,45.7628900,-65.0492400
 2,45.7632000,-65.0591300
 3,45.7584290,-65.0665700
 4,45.7566190,-65.0759990
 5,45.7556990,-65.0860000
 6,45.7514890,-65.0945290
 7,45.7497690,-65.1031490
 8,45.7476000,-65.1126490
 9,45.7451200,-65.1232790
 10,45.7428600,-65.1331700
 11,45.7415390,-65.1406930
 12,45.7388800,-65.1510990
 13,45.7366200,-65.1601890
 14,45.7344300,-65.1700990
 15,45.7343200,-65.1794500
 16,45.7303200,-65.1874890
 17,45.7272600,-65.1930490
 18,45.7248000,-65.2030990
 19,45.7269300,-65.2132700
 20,45.7282390,-65.2232190
 21,45.7305590,-65.2329000
 22,45.7318000,-65.2425200
 23,45.7331990,-65.2525000
 24,45.7336590,-65.2629090
 25,45.7349800,-65.2715400
 26,45.7412000,-65.2767000
 27,45.7472990,-65.2829800
 28,45.7472790,-65.2935500
 29,45.7530400,-65.2994200
 30,45.7575690,-65.3048300
 31,45.7626300,-65.3114800
 32,45.7696500,-65.3177690
 33,45.7757200,-65.3235590
 34,45.7813700,-65.3311790
 35,45.7843200,-65.3387490
 36,45.7863790,-65.3474290
 37,45.7838790,-65.3571190
 38,45.7790000,-65.3664300
 39,45.7756900,-65.3747750
 40,45.7791700,-65.3820990
 41,45.7826800,-65.3894200
 42,45.7821290,-65.3986700
 43,45.7772800,-65.4043000
 44,45.7720300,-65.4116600
 45,45.7663690,-65.4186290
 46,45.7669290,-65.4246400
 47,45.7665190,-65.4329990
 48,45.7647000,-65.4433700
 49,45.7634990,-65.4528800
 50,45.7609890,-65.4603790